Date,Close/Last,Volume,Open,High,Low
11/15/2024,$48.21,160250,$48.86,$48.86,$47.80
11/14/2024,$48.56,135062,$49.81,$49.82,$48.295
11/13/2024,$49.62,160640,$50.16,$50.16,$49.46
11/12/2024,$50.03,117254,$49.50,$50.24,$49.19
11/11/2024,$49.72,137028,$49.49,$50.4825,$49.42
11/08/2024,$49.32,94835,$48.83,$49.54,$48.83
11/07/2024,$48.80,163656,$48.81,$49.71,$48.51
11/06/2024,$48.95,259579,$49.35,$49.83,$48.05
11/05/2024,$47.93,160439,$47.53,$48.16,$47.17
11/04/2024,$47.70,195940,$45.57,$47.815,$45.57
11/01/2024,$45.77,149031,$45.40,$45.79,$45.2463
10/31/2024,$45.19,121518,$44.99,$45.38,$44.90
10/30/2024,$45.19,76272,$45.23,$45.74,$45.11
10/29/2024,$45.30,77955,$45.43,$45.48,$45.06
10/28/2024,$45.68,78843,$45.70,$45.985,$45.59
10/25/2024,$45.34,71167,$45.84,$46.145,$45.28
10/24/2024,$45.68,87978,$45.38,$46.12,$45.38
10/23/2024,$45.46,105417,$45.34,$45.69,$44.95
10/22/2024,$45.64,59085,$45.84,$46.055,$45.23
10/21/2024,$46.05,107526,$45.93,$46.29,$45.61
10/18/2024,$45.91,131509,$46.73,$46.73,$45.595
10/17/2024,$46.75,112324,$46.31,$46.87,$45.88
10/16/2024,$46.22,121570,$46.08,$46.82,$46.08
10/15/2024,$45.98,154900,$45.59,$46.7389,$45.59
10/14/2024,$45.70,129309,$45.25,$45.795,$45.111
10/11/2024,$45.21,108161,$44.79,$45.3799,$44.69
10/10/2024,$44.70,176664,$44.69,$44.985,$44.43
10/09/2024,$45.00,133500,$44.70,$45.41,$44.425
10/08/2024,$44.69,142146,$44.75,$45.00,$44.28
10/07/2024,$44.86,265910,$45.23,$45.325,$44.48
10/04/2024,$45.34,125743,$45.45,$45.90,$44.96
10/03/2024,$45.21,140469,$45.79,$46.2099,$44.98
10/02/2024,$46.08,149712,$47.22,$47.22,$46.06
10/01/2024,$47.30,230602,$46.95,$47.37,$46.57
09/30/2024,$46.94,175457,$46.56,$47.0632,$46.41
09/27/2024,$46.58,170801,$46.13,$47.675,$46.13
09/26/2024,$45.80,154264,$45.93,$46.50,$45.68
09/25/2024,$45.53,156755,$45.59,$46.025,$45.02
09/24/2024,$45.59,134366,$45.92,$46.37,$45.57
09/23/2024,$46.08,136618,$46.22,$46.45,$45.88
09/20/2024,$46.32,560506,$46.71,$47.295,$46.2217
09/19/2024,$46.71,155971,$46.97,$46.97,$45.845
09/18/2024,$46.27,178890,$45.50,$46.95,$45.28
09/17/2024,$45.65,172022,$44.82,$46.045,$44.79
09/16/2024,$44.51,153333,$44.68,$44.91,$43.99
09/13/2024,$44.49,98184,$44.64,$44.94,$44.30
09/12/2024,$44.35,124405,$44.55,$44.705,$43.95
09/11/2024,$44.34,152645,$44.39,$44.685,$43.83
09/10/2024,$44.62,205747,$44.49,$45.08,$44.06
09/09/2024,$44.82,187155,$44.63,$45.14,$43.87
09/06/2024,$45.05,288076,$44.46,$45.19,$44.0401
09/05/2024,$44.85,235153,$46.16,$46.36,$44.65
09/04/2024,$46.11,209723,$45.88,$46.505,$45.6739
09/03/2024,$46.16,255163,$45.05,$46.1799,$44.95
08/30/2024,$45.16,147953,$45.01,$45.40,$44.9632
08/29/2024,$45.00,152662,$45.58,$45.59,$44.96
08/28/2024,$45.43,206744,$45.20,$45.55,$44.6401
08/27/2024,$45.13,114469,$45.54,$45.743,$45.13
08/26/2024,$45.56,136802,$45.99,$46.155,$45.50
08/23/2024,$45.84,175024,$45.57,$46.14,$45.18
08/22/2024,$45.17,116554,$45.82,$45.9138,$44.92
08/21/2024,$45.75,103587,$45.85,$46.03,$45.63
08/20/2024,$45.70,108109,$46.00,$46.08,$45.60
08/19/2024,$46.00,93811,$45.87,$46.435,$45.87
08/16/2024,$45.92,186701,$45.97,$46.25,$45.44
08/15/2024,$45.97,123453,$46.02,$46.45,$45.77
08/14/2024,$45.43,143257,$45.83,$45.9709,$45.235
08/13/2024,$45.67,156025,$45.71,$45.819,$45.12
08/12/2024,$45.39,144450,$46.70,$46.76,$45.38
08/09/2024,$46.82,166419,$46.48,$47.1325,$46.11
08/08/2024,$46.70,163726,$46.37,$47.15,$46.34
08/07/2024,$46.39,144526,$47.03,$47.755,$46.325
08/06/2024,$46.83,194692,$46.50,$47.7256,$46.50
08/05/2024,$46.60,164764,$48.02,$48.13,$46.36
08/02/2024,$48.95,189258,$48.01,$49.31,$48.01
08/01/2024,$48.61,196149,$49.09,$49.56,$48.00
07/31/2024,$48.79,191439,$48.75,$50.02,$48.12
07/30/2024,$48.50,183843,$48.91,$48.91,$47.86
07/29/2024,$48.67,135229,$49.85,$50.17,$48.63
07/26/2024,$49.98,158783,$49.64,$50.05,$49.16
07/25/2024,$49.42,235863,$49.29,$50.175,$49.02
07/24/2024,$48.96,132152,$49.75,$49.77,$48.90
07/23/2024,$49.56,244110,$49.97,$50.83,$49.47
07/22/2024,$49.80,169669,$51.00,$51.00,$49.75
07/19/2024,$50.70,153939,$51.51,$51.695,$50.53
07/18/2024,$51.35,181433,$51.61,$52.165,$51.26
07/17/2024,$51.56,274578,$51.45,$53.01,$51.45
07/16/2024,$51.79,236607,$50.84,$51.86,$50.54
07/15/2024,$50.44,230575,$51.18,$51.21,$50.25
07/12/2024,$50.83,183944,$50.35,$51.24,$50.35
07/11/2024,$50.11,193213,$50.36,$50.73,$49.58
07/10/2024,$49.85,252746,$51.00,$51.00,$49.30
07/09/2024,$50.61,227627,$51.97,$52.2626,$50.415
07/08/2024,$52.21,257719,$52.56,$52.98,$52.03
07/05/2024,$52.63,344484,$51.39,$52.80,$51.24
07/03/2024,$51.63,245357,$52.92,$53.17,$51.62
07/02/2024,$52.84,324853,$53.15,$53.48,$52.4258
07/01/2024,$52.80,466692,$51.24,$53.05,$51.04
06/28/2024,$51.24,896086,$50.92,$52.30,$50.2806
06/27/2024,$50.75,885574,$45.16,$51.16,$44.81
06/26/2024,$44.12,199975,$44.28,$44.68,$43.62
06/25/2024,$44.89,377695,$44.77,$44.96,$42.85
06/24/2024,$44.46,259480,$45.20,$45.73,$44.43
06/21/2024,$48.69,547317,$48.13,$48.81,$47.52
06/20/2024,$48.10,388452,$48.81,$49.64,$47.88
06/18/2024,$49.17,320456,$49.20,$50.13,$49.12
06/17/2024,$49.36,231447,$48.25,$49.48,$47.855
06/14/2024,$48.05,175571,$47.90,$48.6699,$47.35
06/13/2024,$47.89,165397,$47.40,$47.99,$46.68
06/12/2024,$47.38,195233,$47.54,$48.30,$46.8537
