Date,Close/Last,Volume,Open,High,Low
11/15/2024,$18.12,18407240,$18.23,$18.57,$17.87
11/14/2024,$17.92,12402420,$17.89,$18.43,$17.59
11/13/2024,$17.78,14056370,$18.52,$18.60,$17.55
11/12/2024,$18.34,13508220,$18.47,$18.58,$18.045
11/11/2024,$18.59,22087960,$17.95,$19.065,$17.76
11/08/2024,$17.78,28925410,$17.69,$17.949,$17.17
11/07/2024,$17.69,73961420,$17.78,$18.82,$17.40
11/06/2024,$14.40,33833070,$14.12,$14.525,$13.78
11/05/2024,$13.80,13287600,$13.73,$13.915,$13.5701
11/04/2024,$13.58,9704393,$13.46,$13.92,$13.36
11/01/2024,$13.48,13461530,$13.14,$13.765,$13.07
10/31/2024,$12.97,12775380,$13.33,$13.56,$12.87
10/30/2024,$13.67,10824660,$13.81,$13.975,$13.64
10/29/2024,$13.91,8211969,$13.66,$14.015,$13.62
10/28/2024,$13.89,10921110,$13.51,$13.97,$13.49
10/25/2024,$13.41,17618570,$13.87,$13.94,$13.23
10/24/2024,$13.78,9302047,$13.27,$13.81,$13.27
10/23/2024,$13.66,8358189,$13.69,$13.74,$13.40
10/22/2024,$13.76,7997153,$14.06,$14.14,$13.73
10/21/2024,$14.04,8409935,$13.98,$14.18,$13.71
10/18/2024,$13.99,11041090,$13.71,$14.07,$13.5675
10/17/2024,$13.62,10115600,$13.39,$13.66,$13.201
10/16/2024,$13.39,7658272,$13.50,$13.565,$13.28
10/15/2024,$13.30,11267150,$13.25,$13.475,$12.94
10/14/2024,$13.26,15504010,$13.46,$13.50,$12.9601
10/11/2024,$13.60,32506460,$12.86,$13.82,$12.84
10/10/2024,$12.41,10784160,$12.48,$12.54,$12.13
10/09/2024,$12.51,8445532,$12.48,$12.70,$12.24
10/08/2024,$12.44,10134630,$12.38,$12.50,$11.99
10/07/2024,$12.51,8926485,$12.56,$12.636,$12.29
10/04/2024,$12.57,6711087,$12.75,$12.77,$12.43
10/03/2024,$12.36,6308123,$12.47,$12.50,$12.205
10/02/2024,$12.54,9129694,$12.49,$12.8598,$12.47
10/01/2024,$12.49,9431985,$12.78,$12.83,$12.39
09/30/2024,$12.75,6988012,$12.78,$12.88,$12.63
09/27/2024,$12.84,10160490,$13.36,$13.39,$12.735
09/26/2024,$13.28,9942657,$13.66,$13.79,$13.10
09/25/2024,$13.35,9489568,$13.38,$13.675,$13.295
09/24/2024,$13.33,14273590,$12.98,$13.39,$12.94
09/23/2024,$12.72,8891526,$12.54,$12.75,$12.37
09/20/2024,$12.47,19941350,$12.44,$12.66,$12.32
09/19/2024,$12.53,11163880,$12.65,$12.79,$12.41
09/18/2024,$12.17,11079470,$12.29,$12.66,$12.11
09/17/2024,$12.25,14684130,$11.86,$12.31,$11.70
09/16/2024,$11.68,11636460,$11.32,$11.765,$11.32
09/13/2024,$11.35,21496890,$11.43,$11.52,$11.04
09/12/2024,$11.62,11672270,$11.96,$12.07,$11.61
09/11/2024,$11.95,14523340,$11.224,$11.97,$11.07
09/10/2024,$11.27,15124050,$10.86,$11.5799,$10.62
09/09/2024,$10.80,10120230,$11.08,$11.175,$10.72
09/06/2024,$11.06,9280513,$11.24,$11.58,$10.92
09/05/2024,$11.25,10283410,$11.26,$11.89,$11.16
09/04/2024,$11.34,6694050,$11.28,$11.70,$11.22
09/03/2024,$11.35,9611505,$11.65,$11.87,$11.26
08/30/2024,$11.67,8450131,$11.60,$11.80,$11.49
08/29/2024,$11.55,7295434,$11.55,$11.685,$11.34
