Date,Close/Last,Volume,Open,High,Low
10/31/2024,$173.02,235011,$174.64,$174.64,$172.20
10/30/2024,$175.21,222769,$176.25,$176.33,$175.20
10/29/2024,$176.03,357259,$176.50,$177.15,$175.64
10/28/2024,$176.63,457277,$175.70,$176.88,$175.3095
10/25/2024,$172.00,273877,$171.90,$173.00,$171.59
10/24/2024,$170.43,288576,$170.37,$171.4045,$169.30
10/23/2024,$171.33,398124,$172.00,$172.36,$170.33
10/22/2024,$169.93,393126,$169.58,$170.2999,$169.29
10/21/2024,$169.17,420176,$170.10,$170.2599,$168.655
10/18/2024,$171.53,400413,$171.70,$171.925,$170.6924
10/17/2024,$171.20,516184,$172.48,$172.77,$171.10
10/16/2024,$171.50,508130,$170.76,$171.80,$170.51
10/15/2024,$169.55,858871,$171.605,$171.6823,$169.31
10/14/2024,$175.10,316342,$174.22,$175.39,$174.08
10/11/2024,$174.06,344600,$172.06,$174.52,$171.80
10/10/2024,$174.35,241574,$172.84,$174.58,$172.76
10/09/2024,$173.99,416309,$172.88,$174.36,$171.80
10/08/2024,$175.76,326089,$175.73,$176.99,$174.65
10/07/2024,$177.32,228881,$177.79,$178.22,$176.855
10/04/2024,$180.02,309545,$178.30,$180.51,$177.96
10/03/2024,$176.17,394835,$176.92,$176.92,$175.3901
10/02/2024,$180.50,295144,$179.00,$180.61,$178.55
10/01/2024,$178.06,391166,$179.98,$179.98,$176.87
09/30/2024,$178.57,458900,$179.44,$179.82,$177.37
09/27/2024,$182.82,575172,$184.37,$185.19,$181.70
09/26/2024,$189.36,449748,$188.55,$190.44,$188.4654
09/25/2024,$184.16,213818,$184.01,$184.8375,$183.50
09/24/2024,$183.53,284990,$183.11,$184.87,$183.11
09/23/2024,$185.40,357927,$184.75,$185.81,$184.13
09/20/2024,$184.07,534072,$184.58,$184.92,$182.5429
09/19/2024,$183.47,494500,$184.29,$184.68,$183.0001
09/18/2024,$176.71,563819,$175.66,$178.52,$175.66
09/17/2024,$173.15,502580,$172.38,$174.59,$171.32
09/16/2024,$176.23,274319,$175.71,$176.61,$175.0683
09/13/2024,$175.39,217804,$174.99,$176.18,$174.86
09/12/2024,$176.18,267808,$175.56,$177.195,$174.305
09/11/2024,$174.69,415192,$172.39,$174.85,$170.51
09/10/2024,$174.18,479244,$174.73,$175.79,$171.60
09/09/2024,$176.08,408351,$175.60,$177.0899,$174.58
09/06/2024,$177.18,288730,$181.19,$181.55,$176.8881
09/05/2024,$182.80,224551,$182.79,$183.41,$181.77
09/04/2024,$184.71,218261,$183.92,$185.94,$183.62
09/03/2024,$186.15,329844,$187.80,$189.70,$185.595
08/30/2024,$189.80,240715,$190.00,$190.65,$188.40
08/29/2024,$187.77,215603,$188.11,$189.15,$187.35
08/28/2024,$187.67,366430,$189.60,$190.23,$187.135
08/27/2024,$185.75,657287,$185.36,$186.35,$185.25
08/26/2024,$180.57,337565,$180.73,$181.825,$180.39
08/23/2024,$185.09,241860,$184.09,$186.00,$183.50
08/22/2024,$181.50,179895,$183.37,$183.71,$181.31
08/21/2024,$183.62,298350,$184.16,$184.3782,$182.80
08/20/2024,$181.34,180405,$182.86,$183.63,$181.11
08/19/2024,$183.70,242684,$183.52,$183.80,$182.72
08/16/2024,$182.67,337340,$182.24,$183.26,$182.00
08/15/2024,$181.79,693483,$181.93,$182.32,$180.77
08/14/2024,$177.01,350406,$176.99,$178.01,$175.94
08/13/2024,$172.39,429098,$171.05,$172.6573,$170.77
08/12/2024,$167.97,296537,$169.00,$169.57,$167.561
08/09/2024,$168.59,274487,$167.49,$169.48,$166.7462
08/08/2024,$169.37,255002,$169.17,$170.10,$167.60
08/07/2024,$167.18,444632,$171.61,$172.60,$167.06
08/06/2024,$169.60,489778,$169.91,$170.50,$167.585
08/05/2024,$168.35,1023943,$160.89,$170.95,$159.04
