Date,Close/Last,Volume,Open,High,Low
10/30/23,197.36,136448200,$209.28 ,$210.88 ,$194.67 
10/31/23,200.84,118068300,$196.12 ,$202.80 ,$194.07 
11/1/23,205.66,121661700,$204.04 ,$205.99 ,$197.85 
11/2/23,218.51,125987600,$212.97 ,$219.20 ,$211.45 
11/3/23,219.96,119534800,$221.15 ,$226.37 ,$218.40 
11/6/23,219.27,117335800,$223.98 ,$226.32 ,$215.00 
11/7/23,222.18,116900100,$219.98 ,$223.12 ,$215.72 
11/8/23,222.11,106584800,$223.15 ,$224.15 ,$217.64 
11/9/23,209.98,142110500,$219.75 ,$220.80 ,$206.68 
11/10/23,214.65,131310100,$210.03 ,$215.38 ,$205.69 
11/13/23,223.71,140447600,$215.60 ,$225.40 ,$211.61 
11/14/23,237.41,149771600,$235.03 ,$238.14 ,$230.72 
11/15/23,242.84,150354000,$239.29 ,$246.70 ,$236.45 
11/16/23,233.59,136816800,$239.49 ,$240.88 ,$230.96 
11/17/23,234.30,142766200,$232.00 ,$237.39 ,$226.54 
11/20/23,235.60,116562400,$234.04 ,$237.10 ,$231.02 
11/21/23,241.20,122288000,$235.04 ,$243.62 ,$233.34 
11/22/23,234.21,118117100,$242.04 ,$244.01 ,$231.40 
11/24/23,235.45,65125200,$233.75 ,$238.75 ,$232.33 
11/27/23,236.08,112031800,$236.89 ,$238.33 ,$232.10 
11/28/23,246.72,148549900,$236.68 ,$247.00 ,$234.01 
11/29/23,244.14,135401300,$249.21 ,$252.75 ,$242.76 
11/30/23,240.08,132353200,$245.14 ,$245.22 ,$236.91 
12/1/23,238.83,121331700,$233.14 ,$240.19 ,$231.90 
12/4/23,235.58,104099800,$235.75 ,$239.37 ,$233.29 
12/5/23,238.72,137971100,$233.87 ,$246.66 ,$233.70 
12/6/23,239.37,126436200,$242.92 ,$246.57 ,$239.17 
12/7/23,242.64,107142300,$241.55 ,$244.08 ,$236.98 
12/8/23,243.84,103126800,$240.27 ,$245.27 ,$239.27 
12/11/23,239.74,97913890,$242.74 ,$243.44 ,$237.45 
12/12/23,237.01,95328310,$238.55 ,$238.99 ,$233.87 
12/13/23,239.29,146286300,$234.19 ,$240.30 ,$228.20 
12/14/23,251.05,160829200,$241.22 ,$253.88 ,$240.79 
12/15/23,253.50,135932800,$251.21 ,$254.13 ,$248.30 
12/18/23,252.08,116416500,$253.78 ,$258.74 ,$251.36 
12/19/23,257.22,106737400,$253.48 ,$258.34 ,$253.01 
12/20/23,247.14,125097000,$256.41 ,$259.84 ,$247.00 
12/21/23,254.50,109594200,$251.90 ,$254.80 ,$248.55 
12/22/23,252.54,93370090,$256.76 ,$258.22 ,$251.37 
12/26/23,256.61,86892380,$254.49 ,$257.97 ,$252.91 
12/27/23,261.44,106494400,$258.35 ,$263.34 ,$257.52 
12/28/23,253.18,113619900,$263.66 ,$265.13 ,$252.71 
12/29/23,248.48,100891600,$255.10 ,$255.19 ,$247.43 
1/2/24,248.42,104654200,$250.08 ,$251.25 ,$244.41 
1/3/24,238.45,121082600,$244.98 ,$245.68 ,$236.32 
1/4/24,237.93,102629300,$239.25 ,$242.70 ,$237.73 
1/5/24,237.49,92488940,$236.86 ,$240.12 ,$234.90 
1/8/24,240.45,85166580,$236.14 ,$241.25 ,$235.30 
1/9/24,234.96,96705660,$238.11 ,$238.96 ,$232.04 
